,reactKey,timeStr,type,time,overloadTime,profileUrl,overloadTimeStr,isHome,injuredPlayerOut,swap,player.id,player.profileUrl,ownGoal,suffix,isPenaltyShootoutEvent,nameStr,firstName,lastName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,player.name,assistPlayerId,match_id,teamid,card,halfStrShort,eventId
10,82SubstitutionNaN621936true,82,Substitution,82,,/players/NaN/,False,True,False,"[{'name': 'Saad Abdul-Salam', 'id': '621936', 'profileUrl': '/players/621936/saad-abdul-salam'}, {'name': 'Graham Zusi', 'id': '168169', 'profileUrl': '/players/168169/graham-zusi'}]",,/players/undefined/,,,,,,,,,,,,,,1894338,6604.0,,,
0,22Goal0undefinedtrue,22,Goal,22,,/players/0/justin-morrow,False,True,,,0.0,/players/0/justin-morrow,,,False,Justin Morrow,Justin,Morrow,0.0,"[1, 0]",,assist by Sebastian Giovinco,/players/0/sebastian-giovinco,Justin Morrow,0.0,1894744,56453.0,,,
1,24Goal0undefinedfalse,24,Goal,24,,/players/0/chris-wondolowski,False,False,,,0.0,/players/0/chris-wondolowski,,(Pen),False,"Chris Wondolowski, Penalty",Chris,Wondolowski,0.0,"[1, 1]",,,,Chris Wondolowski,,1894744,6603.0,,,
2,33Goal0undefinedtrue,33,Goal,33,,/players/0/warren-creavalle,False,True,,,0.0,/players/0/warren-creavalle,,,False,Warren Creavalle,Warren,Creavalle,0.0,"[2, 1]",,assist by Luke Moore,/players/0/luke-moore,Warren Creavalle,0.0,1894744,56453.0,,,
3,46SubstitutionNaN98378false,46,Substitution,46,,/players/NaN/,False,False,False,"[{'name': 'Paulo Renato', 'id': '98378', 'profileUrl': '/players/98378/paulo-renato'}, {'name': 'Clarence Goodson', 'id': '69693', 'profileUrl': '/players/69693/clarence-goodson'}]",,/players/undefined/,,,,,,,,,,,,,,1894744,6603.0,,,
4,58SubstitutionNaN309798false,58,Substitution,58,,/players/NaN/,False,False,False,"[{'name': 'Cordell Cato', 'id': '309798', 'profileUrl': '/players/309798/cordell-cato'}, {'name': 'Sanna Nyassi', 'id': '172890', 'profileUrl': '/players/172890/sanna-nyassi'}]",,/players/undefined/,,,,,,,,,,,,,,1894744,6603.0,,,
5,66SubstitutionNaN212482true,66,Substitution,66,,/players/NaN/,False,True,False,"[{'name': 'Jackson', 'id': '212482', 'profileUrl': '/players/212482/jackson'}, {'name': 'Warren Creavalle', 'id': '315278', 'profileUrl': '/players/315278/warren-creavalle'}]",,/players/undefined/,,,,,,,,,,,,,,1894744,56453.0,,,
6,71Goal0undefinedtrue,71,Goal,71,,/players/0/luke-moore,False,True,,,0.0,/players/0/luke-moore,,,False,Luke Moore,Luke,Moore,0.0,"[3, 1]",,assist by Sebastian Giovinco,/players/0/sebastian-giovinco,Luke Moore,0.0,1894744,56453.0,,,
7,75SubstitutionNaN525642false,75,Substitution,75,,/players/NaN/,False,False,False,"[{'name': 'Mark Sherrod', 'id': '525642', 'profileUrl': '/players/525642/mark-sherrod'}, {'name': 'Jeffrey Koval', 'id': '526967', 'profileUrl': '/players/526967/jeffrey-koval'}]",,/players/undefined/,,,,,,,,,,,,,,1894744,6603.0,,,
8,84SubstitutionNaN525614true,84,Substitution,84,,/players/NaN/,False,True,False,"[{'name': 'Nick Hagglund', 'id': '525614', 'profileUrl': '/players/525614/nick-hagglund'}, {'name': 'Jonathan Osorio', 'id': '432605', 'profileUrl': '/players/432605/jonathan-osorio'}]",,/players/undefined/,,,,,,,,,,,,,,1894744,56453.0,,,
