,id,usingOptaId,imageUrl,pageUrl,shirt,isHomeTeam,timeSubbedOn,timeSubbedOff,usualPosition,positionRow,role,events,name.firstName,name.lastName,events.sub.subbedOut,match_id,teamid,events.as,events.g,minutesPlayed,shotmap,stats,rating.num,rating.bgcolor,rating.isTop.isTopRating,rating.isTop.isMatchFinished,fantasyScore.bgcolor,teamData.home.id,teamData.home.color,teamData.away.id,teamData.away.color,events.ycrc,events.yc,events.rc,events.og
2,163994,False,https://images.fotmob.com/image_resources/playerimages/163994.png,/players/163994/steven-vitoria,23,True,,,1,1,Defender,,Steven,Vitoria,,1883631,191716.0,,,,,,,,,,,,,,,,,,
3,307762,False,https://images.fotmob.com/image_resources/playerimages/307762.png,/players/307762/raymon-gaddis,28,True,,,1,1,Defender,,Raymon,Gaddis,,1883631,191716.0,,,,,,,,,,,,,,,,,,
0,70360,False,https://images.fotmob.com/image_resources/playerimages/70360.png,/players/70360/maurice-edu,8,True,,,2,2,Midfielder,,Maurice,Edu,,1883631,191716.0,,,,,,,,,,,,,,,,,,
0,168057,False,https://images.fotmob.com/image_resources/playerimages/168057.png,/players/168057/sebastien-le-toux,9,True,,85.0,2,3,Midfielder,,Sebastien,Le Toux,85.0,1883631,191716.0,,,,,,,,,,,,,,,,,,
1,94325,False,https://images.fotmob.com/image_resources/playerimages/94325.png,/players/94325/vincent-nogueira,5,True,,85.0,2,3,Midfielder,,Vincent,Nogueira,85.0,1883631,191716.0,,,,,,,,,,,,,,,,,,
2,308040,False,https://images.fotmob.com/image_resources/playerimages/308040.png,/players/308040/andrew-wenger,11,True,,,2,3,Midfielder,,Andrew,Wenger,,1883631,191716.0,,,,,,,,,,,,,,,,,,
0,211146,False,https://images.fotmob.com/image_resources/playerimages/211146.png,/players/211146/fernando-aristeguieta,18,True,,,3,5,Attacker,,Fernando,Aristeguieta,,1883631,191716.0,,,,,,,,,,,,,,,,,,
1,254991,False,https://images.fotmob.com/image_resources/playerimages/254991.png,/players/254991/charles-sapong,17,True,,46.0,3,5,Attacker,,Charles,Sapong,46.0,1883631,191716.0,,,,,,,,,,,,,,,,,,
0,621537,False,https://images.fotmob.com/image_resources/playerimages/621537.png,/players/621537/dominique-badji,14,False,,88,3,5,Attacker,,Dominique,Badji,88.0,1883631,8314.0,,,,,,,,,,,,,,,,,,
0,431656,False,https://images.fotmob.com/image_resources/playerimages/431656.png,/players/431656/dillon-serna,17,False,,,2,3,Midfielder,,Dillon,Serna,,1883631,8314.0,,,,,,,,,,,,,,,,,,
1,118548,False,https://images.fotmob.com/image_resources/playerimages/118548.png,/players/118548/gabriel-torres,10,False,,74.0,2,3,Midfielder,,Gabriel,Torres,74.0,1883631,8314.0,,,,,,,,,,,,,,,,,,
2,2862,False,https://images.fotmob.com/image_resources/playerimages/2862.png,/players/2862/vicente-sanchez,7,False,,55.0,2,3,Midfielder,,Vicente,Sanchez,55.0,1883631,8314.0,,,,,,,,,,,,,,,,,,
0,279887,False,https://images.fotmob.com/image_resources/playerimages/279887.png,/players/279887/lucas-pittinari,22,False,,,2,2,Midfielder,,Lucas,Pittinari,,1883631,8314.0,,,,,,,,,,,,,,,,,,
1,49283,False,https://images.fotmob.com/image_resources/playerimages/49283.png,/players/49283/marcelo-sarvas,11,False,,,2,2,Midfielder,,Marcelo,Sarvas,,1883631,8314.0,,,,,,,,,,,,,,,,,,
0,69970,False,https://images.fotmob.com/image_resources/playerimages/69970.png,/players/69970/michael-harrington,5,False,,,1,1,Defender,,Michael,Harrington,,1883631,8314.0,,,,,,,,,,,,,,,,,,
1,621484,False,https://images.fotmob.com/image_resources/playerimages/621484.png,/players/621484/axel-sjoeberg,44,False,,,1,1,Defender,,Axel,Sjoeberg,,1883631,8314.0,,,,,,,,,,,,,,,,,,
2,115899,False,https://images.fotmob.com/image_resources/playerimages/115899.png,/players/115899/bobby-burling,23,False,,,1,1,Defender,,Bobby,Burling,,1883631,8314.0,,,,,,,,,,,,,,,,,,
3,70290,False,https://images.fotmob.com/image_resources/playerimages/70290.png,/players/70290/james-riley,16,False,,,1,1,Defender,,James,Riley,,1883631,8314.0,,,,,,,,,,,,,,,,,,
0,431653,False,https://images.fotmob.com/image_resources/playerimages/431653.png,/players/431653/clint-irwin,1,False,,,0,0,Keeper,,Clint,Irwin,,1883631,8314.0,,,,,,,,,,,,,,,,,,
0,34784,False,https://images.fotmob.com/image_resources/playerimages/34784.png,/players/34784/david-ousted,1,True,,,0,0,Keeper,,David,Ousted,,1883626,307691.0,,,,,,,,,,,,,,,,,,
